Timestamp;What programme are you in?;Have you taken a course on machine learning?;Have you taken a course on information retrieval?;Have you taken a course on statistics?;Have you taken a course on databases?;What is your gender?;I have used ChatGPT to help me with some of my study assignments ;When is your birthday (date)?;How many students do you estimate there are in the room?;What is your stress level (0-100)?;How many hours per week do you do sports (in whole hours)? ;Give a random number;Time you went to bed Yesterday;What makes a good day for you (1)?;What makes a good day for you (2)?
4-1-2025 12:17:07;MSc Artificial Intelligence;yes;unknown;mu;ja;male;yes;01-01-1888;400;78;0;928393;00:00;Food;Travel
4-1-2025 12:17:14;Artificial Intelligence ;yes;1;sigma;ja;female;yes;31/01/2002;321;1000;2;31.416;12:30;sun;coffee
4-1-2025 12:17:17;Econometrics;yes;1;mu;ja;male;not willing to say;September ;200;101;4;5;0:30;Zonnetje;Aperol
4-1-2025 12:17:21;Econometrics - Data Science;yes;0;mu;nee;male;yes;17/10/2003;350;60;6;37;23:00;Sun;Sun
4-1-2025 12:17:24;Bioinformatics’s & Systems Biology;yes;1;mu;ja;male;yes;19/04/2000;500;50;8;1;12;-;-
4-1-2025 12:17:26;Econometrics;no;unknown;mu;nee;gender fluid;not willing to say;Tomorrow;467;99,7;8;0;5am;Chocolate;Bitterballen
4-1-2025 12:17:26;Econometrics;no;0;mu;ja;female;yes;25/10/1999;500;60;4;4;12:00;Sun;Good food
4-1-2025 12:17:27;computer science;yes;0;sigma;ja;male;not willing to say;1 april;400;30;1;6656678;12am;good food;good grade
4-1-2025 12:17:28;Masters in AI;no;0;mu;ja;female;yes;29/01/2001;500;60;3;888;10:37;Sun1;Sun2
4-1-2025 12:17:30;Ms cs;no;0;mu;ja;gender fluid;not willing to say;01082000;200;70;1;420420420420420420;0200;Work done good;Then smoke weed
4-1-2025 12:17:31;AI;yes;1;sigma;ja;female;yes;19/10/1999;250;100;4;3;11 pm;Good food ;Nice company 
4-1-2025 12:17:31;Computer Science (joint degree);yes;1;unknown;ja;male;yes;1-1-1999;400;20;4,5;5,38299E+11;00:00;Pizza;Beers
4-1-2025 12:17:35;NPN;yes;unknown;mu;ja;male;yes;01012000;345;60;8;1984;23h45;Good food;Good sleep 
4-1-2025 12:17:39;Masters Artificial Intelligence ;yes;1;mu;ja;male;no;June 15 2001;500;50;4;72;9 am;Mama’s food;Dad’s card 
4-1-2025 12:17:40;Computer science;yes;1;unknown;ja;female;no;01;200;70;2;7;9;Good work;Good sleep
4-1-2025 12:17:40;Computer Science;no;0;mu;ja;male;yes;27/02/2001;500;1000;0;94;2 am;Passing courses;Sleeping
4-1-2025 12:17:41;Artificial Intelligence;yes;1;sigma;ja;male;yes;10-05-1982;400;50;7;13;01.00;Drugs;More drugs
4-1-2025 12:17:43;Master AI;no;0;mu;ja;female;yes;16.12.1998;400;30;10;28;23.30;Coffee;Sports
4-1-2025 12:17:44;Bioinformatics and systems biology ;yes;0;unknown;unknown;female;yes;23/06/2002;200;1000;0;9;23:16;Nothing ;Nothing 
4-1-2025 12:17:44;Master’s Business Analytics;yes;0;sigma;ja;female;yes;10/08/2000;200;70;0;8;2;Passing grade;Credit in balance
4-1-2025 12:17:44;Artificial intelligence ;yes;1;mu;ja;male;yes;30-12-2003;200;5;12;6372;1:00;Sun;More sun
4-1-2025 12:17:46;AI;yes;1;mu;ja;male;yes;11 August;500;8;6;27;23.00; ; 
4-1-2025 12:17:49;AI;yes;1;mu;ja;male;yes;Idk;300;9999;10;9999;1 am;Not having EDDA exam;Freetime
4-1-2025 12:17:50;Masters in Artificial Intelligence;no;0;mu;nee;male;yes;04/19/2000;300;20;3;78;12:30 PM;Hanging with friends in the sun;Eating good food
4-1-2025 12:17:51;Artificial Intelligence ;yes;0;mu;ja;female;yes;19/07/2003;300;50;4;38;23:30;Sun;Activity 
4-1-2025 12:17:51;Computational Science ;no;0;mu;nee;female;yes;19 February ;500;15;12;19;00:30;Good food ;Friends 
4-1-2025 12:17:52;Master econometrics;no;0;mu;nee;female;not willing to say;19.05.2000;100;75;6;777;0.30;Sun;Cappuccino
4-1-2025 12:17:52;AI;yes;0;mu;ja;female;yes;September 14;550;1E+14;7;74;2;Sun;Food
4-1-2025 12:17:53;AI;yes;0;unknown;ja;female;not willing to say;1999;180-200;2;4-5;99;1:00 am;Sunny day;Hanging out with friends
4-1-2025 12:17:53;AI;yes;0;mu;ja;female;yes;11.12.2001;300;3;10;25;12;dance;company
4-1-2025 12:17:55;Econometrics;no;0;mu;nee;male;yes;24.01.1999;300;55;2;27;12:00;Spending time with Marc;Nice warm weather
4-1-2025 12:17:56;AI master;yes;0;mu;nee;male;yes;29-070-2000;456;20;9;108;23:57;Yoga;Delicious food
4-1-2025 12:17:56;Artificial Intelligences;yes;1;sigma;ja;not willing to answer;yes;24 de Diciembre ;20*5*5;100;10;37;05:00;Alcohol;More alcohol
4-1-2025 12:17:57;Computer Science;no;unknown;mu;ja;female;no;01/06/2000;100;100;1;4738;12;grade 10;win lottery 
4-1-2025 12:17:57;Msc AI;yes;1;sigma;ja;male;yes;11-11-00;250;20;5;11011011;23:30;Socialising ;When I've learned something new
4-1-2025 12:17:58;Master Artificial Intelligence;yes;0;mu;nee;male;yes;05.11.1997;250;80;4;87;4:00;doing sports;not having anxiety
4-1-2025 12:17:58;Computational Science;yes;0;mu;nee;male;yes;27-11-2002;487;30;7;39;22:30;Sports;Free time
4-1-2025 12:17:59;MSc in Finance and Technology;yes;0;mu;nee;male;yes;20/07/2001;490;75;0;7;00:45;Booking tickets;drinking beers
4-1-2025 12:17:59;Master Computer Science;yes;1;mu;ja;female;yes;2000;300;10;2;77945354356758979022123;00:30;seeing friends;no work
4-1-2025 12:18:01;Human Language Technology;yes;0;unknown;ja;female;yes;23-12-2002;450;10;3;1934;01:30;Nice weather;No work
4-1-2025 12:18:03;Master’s in AI;no;0;mu;ja;female;yes;16/03/2002;550;50;8;8;00:30;Good food;Sun 
4-1-2025 12:18:04;Master Artificial Intelligence;yes;0;mu;ja;male;yes;09-05-2002;350;45;4;69420;23:30;Feeling energized;Reaching the goals I set for myself that day
4-1-2025 12:18:05;Quantitative Finance;yes;0;mu;ja;male;yes;18-05-2003;300;5;8;14;12;Sports;Friends
4-1-2025 12:18:06;Business analytics ;yes;1;mu;ja;female;yes;11/11/2002;450;89;7;69;23:40;Bubble tea;Dog
