TIMESTAMP,PROGRAM,ML_COURSE,IR_COURSE,STAT_COURSE,DB_COURSE,GENDER,CHATGPT_USAGE,BIRTHDAY,ROOM_ESTIMATE,STRESS_LEVEL,SPORTS_HOURS,RANDOM_NUMBER,BEDTIME,GOOD_DAY_1,GOOD_DAY_2,ML_COURSE_NUM,IR_COURSE_NUM,DB_COURSE_NUM,CHATGPT_USAGE_NUM,GENDER_CATEGORIZED,ROOM_ESTIMATE_CLEANED,STRESS_LEVEL_CLEANED,SPORTS_HOURS_CLEANED,RANDOM_NUMBER_CLEANED,AGE,BIRTHDAY_MONTH,BIRTHDAY_DAY,BEDTIME_CLEANED,GOOD_DAY_1_CLEAN,GOOD_DAY_2_CLEAN,GOOD_DAY_CLEANED_1,study_pressure,sports_x_chatgpt,sports_squared,chatgpt_squared,age_month_product,ROOM_ESTIMATE_WINSORIZED,ROOM_ESTIMATE_LOG,ROOM_ESTIMATE_SQRT
2025-04-01 12:17:06.560,Artificial Intelligence,yes,unknown,mu,ja,male,yes,01-01-1888,400,78,0,928393,00:00,Food,Travel,1.0,,1.0,1.0,male,400.0,78.0,0.0,928393.0,,1.0,1.0,00:00:00,food,travel,food_drink,,0.0,0.0,1.0,,400.0,5.993961427306569,20.0
2025-04-01 12:17:14.118,Artificial Intelligence,yes,1,sigma,ja,female,yes,31/01/2002,321,1000,2,31416,12:30,sun,coffee,1.0,1.0,1.0,1.0,female,321.0,100.0,2.0,31416.0,23.0,1.0,31.0,00:30:00,sun,coffee,weather,3.0,2.0,4.0,1.0,23.0,321.0,5.7745515455444085,17.916472867168917
2025-04-01 12:17:16.917,Econometrics and Operations Research,yes,1,mu,ja,male,not willing to say,September,200,101,4,5,0:30,Zonnetje,Aperol,1.0,1.0,1.0,,male,200.0,100.0,4.0,5.0,,9.0,14.0,00:30:00,zonnetje,aperol,weather,3.0,,16.0,,,200.0,5.303304908059076,14.142135623730951
2025-04-01 12:17:20.718,Econometrics and Operations Research,yes,0,mu,nee,male,yes,17/10/2003,350,60,6,37,23:00,Sun,Sun,1.0,0.0,0.0,1.0,male,350.0,60.0,6.0,37.0,21.0,10.0,17.0,23:00:00,sun,sun,weather,1.0,6.0,36.0,1.0,210.0,350.0,5.860786223465865,18.708286933869708
2025-04-01 12:17:23.836,Bioinformatics and Systems Biology,yes,1,mu,ja,male,yes,19/04/2000,500,50,8,1,12,-,-,1.0,1.0,1.0,1.0,male,500.0,50.0,8.0,1.0,24.0,4.0,19.0,00:00:00,-,-,,3.0,8.0,64.0,1.0,96.0,500.0,6.2166061010848646,22.360679774997898
2025-04-01 12:17:25.733,Econometrics and Operations Research,no,unknown,mu,nee,gender fluid,not willing to say,Tomorrow,467,99.7,8,0,5am,Chocolate,Bitterballen,0.0,,0.0,,gender_non_conforming,467.0,99.7,8.0,0.0,,,,05:00:00,chocolate,bitterballen,food_drink,,,64.0,,,467.0,6.148468295917647,21.61018278497431
2025-04-01 12:17:26.001,Econometrics and Operations Research,no,0,mu,ja,female,yes,25/10/1999,500,60,4,4,12:00,Sun,Good food,0.0,0.0,1.0,1.0,female,500.0,60.0,4.0,4.0,25.0,10.0,25.0,00:00:00,sun,good food,weather,1.0,4.0,16.0,1.0,250.0,500.0,6.2166061010848646,22.360679774997898
2025-04-01 12:17:26.930,Computer Science,yes,0,sigma,ja,male,not willing to say,1 april,400,30,1,6656678,12am,good food,good grade,1.0,0.0,1.0,,male,400.0,30.0,1.0,6656678.0,,4.0,1.0,00:00:00,good food,good grade,food_drink,2.0,,1.0,,,400.0,5.993961427306569,20.0
2025-04-01 12:17:27.795,Artificial Intelligence,no,0,mu,ja,female,yes,29/01/2001,500,60,3,888,10:37,Sun1,Sun2,0.0,0.0,1.0,1.0,female,500.0,60.0,3.0,888.0,24.0,1.0,29.0,22:37:00,sun1,sun2,weather,1.0,3.0,9.0,1.0,24.0,500.0,6.2166061010848646,22.360679774997898
2025-04-01 12:17:29.888,Computer Science,no,0,mu,ja,gender fluid,not willing to say,01082000,200,70,1,420420420420420420,0200,Work done good,Then smoke weed,0.0,0.0,1.0,,gender_non_conforming,200.0,70.0,1.0,4.204204204204204e+17,24.0,8.0,1.0,02:00:00,work done good,then smoke weed,mental_wellbeing,1.0,,1.0,,192.0,200.0,5.303304908059076,14.142135623730951
2025-04-01 12:17:31.031,Artificial Intelligence,yes,1,sigma,ja,female,yes,19/10/1999,250,100,4,3,11 pm,Good food ,Nice company ,1.0,1.0,1.0,1.0,female,250.0,100.0,4.0,3.0,25.0,10.0,19.0,23:00:00,good food,nice company,food_drink,3.0,4.0,16.0,1.0,250.0,250.0,5.5254529391317835,15.811388300841896
2025-04-01 12:17:31.441,Computer Science,yes,1,unknown,ja,male,yes,1-1-1999,400,20,4.5,538299189101,00:00,Pizza,Beers,1.0,1.0,1.0,1.0,male,400.0,20.0,4.5,538299189101.0,26.0,1.0,1.0,00:00:00,pizza,beers,food_drink,3.0,4.5,20.25,1.0,26.0,400.0,5.993961427306569,20.0
2025-04-01 12:17:34.918,OTHER,yes,unknown,mu,ja,male,yes,01012000,345,60,8,1984,23h45,Good food,Good sleep ,1.0,,1.0,1.0,male,345.0,60.0,8.0,1984.0,25.0,1.0,1.0,23:00:00,good food,good sleep,food_drink,,8.0,64.0,1.0,25.0,345.0,5.846438775057724,18.57417562100671
2025-04-01 12:17:39.263,Artificial Intelligence,yes,1,mu,ja,male,no,June 15 2001,500,50,4,72,9 am,Mama’s food,Dad’s card ,1.0,1.0,1.0,0.0,male,500.0,50.0,4.0,72.0,23.0,6.0,15.0,09:00:00,mama’s food,dad’s card,food_drink,3.0,0.0,16.0,0.0,138.0,500.0,6.2166061010848646,22.360679774997898
2025-04-01 12:17:39.650,Computer Science,yes,1,unknown,ja,female,no,01,200,70,2,7,9,Good work,Good sleep,1.0,1.0,1.0,0.0,female,200.0,70.0,2.0,7.0,,4.0,1.0,21:00:00,good work,good sleep,,3.0,0.0,4.0,0.0,,200.0,5.303304908059076,14.142135623730951
2025-04-01 12:17:39.676,Computer Science,no,0,mu,ja,male,yes,27/02/2001,500,1000,0,94,2 am,Passing courses,Sleeping,0.0,0.0,1.0,1.0,male,500.0,100.0,0.0,94.0,24.0,2.0,27.0,02:00:00,passing courses,sleeping,productivity,1.0,0.0,0.0,1.0,48.0,500.0,6.2166061010848646,22.360679774997898
2025-04-01 12:17:40.957,Artificial Intelligence,yes,1,sigma,ja,male,yes,10-05-1982,400,50,7,13,01.00,Drugs,More drugs,1.0,1.0,1.0,1.0,male,400.0,50.0,7.0,13.0,42.0,5.0,10.0,01:00:00,drugs,more drugs,,3.0,7.0,49.0,1.0,210.0,400.0,5.993961427306569,20.0
2025-04-01 12:17:42.541,Artificial Intelligence,no,0,mu,ja,female,yes,16.12.1998,400,30,10,28,23.30,Coffee,Sports,0.0,0.0,1.0,1.0,female,400.0,30.0,10.0,28.0,26.0,12.0,16.0,23:30:00,coffee,sports,food_drink,1.0,10.0,100.0,1.0,312.0,400.0,5.993961427306569,20.0
2025-04-01 12:17:43.633,Bioinformatics and Systems Biology,yes,0,unknown,unknown,female,yes,23/06/2002,200,1000,0,9,23:16,Nothing ,Nothing ,1.0,0.0,,1.0,female,200.0,100.0,0.0,9.0,22.0,6.0,23.0,23:16:00,nothing,nothing,,,0.0,0.0,1.0,132.0,200.0,5.303304908059076,14.142135623730951
2025-04-01 12:17:43.941,Business Analytics,yes,0,sigma,ja,female,yes,10/08/2000,200,70,0,8,2,Passing grade,Credit in balance,1.0,0.0,1.0,1.0,female,200.0,70.0,0.0,8.0,24.0,8.0,10.0,02:00:00,passing grade,credit in balance,productivity,2.0,0.0,0.0,1.0,192.0,200.0,5.303304908059076,14.142135623730951
2025-04-01 12:17:44.148,Artificial Intelligence,yes,1,mu,ja,male,yes,30-12-2003,200,5,12,6372,1:00,Sun,More sun,1.0,1.0,1.0,1.0,male,200.0,5.0,12.0,6372.0,21.0,12.0,30.0,01:00:00,sun,more sun,weather,3.0,12.0,144.0,1.0,252.0,200.0,5.303304908059076,14.142135623730951
2025-04-01 12:17:46.498,Artificial Intelligence,yes,1,mu,ja,male,yes,11 August,500,8,6,27,23.00, , ,1.0,1.0,1.0,1.0,male,500.0,8.0,6.0,27.0,,8.0,11.0,23:00:00,,,,3.0,6.0,36.0,1.0,,500.0,6.2166061010848646,22.360679774997898
2025-04-01 12:17:48.575,Artificial Intelligence,yes,1,mu,ja,male,yes,Idk,300,9999,10,9999,1 am,Not having EDDA exam,Freetime,1.0,1.0,1.0,1.0,male,300.0,100.0,10.0,9999.0,,,,01:00:00,not having edda exam,freetime,,3.0,10.0,100.0,1.0,,300.0,5.707110264748875,17.320508075688775
2025-04-01 12:17:49.620,Artificial Intelligence,no,0,mu,nee,male,yes,04/19/2000,300,20,3,78,12:30 PM,Hanging with friends in the sun,Eating good food,0.0,0.0,0.0,1.0,male,300.0,20.0,3.0,78.0,24.0,4.0,19.0,12:30:00,hanging with friends in the sun,eating good food,weather,0.0,3.0,9.0,1.0,96.0,300.0,5.707110264748875,17.320508075688775
2025-04-01 12:17:50.672,Artificial Intelligence,yes,0,mu,ja,female,yes,19/07/2003,300,50,4,38,23:30,Sun,Activity ,1.0,0.0,1.0,1.0,female,300.0,50.0,4.0,38.0,21.0,7.0,19.0,23:30:00,sun,activity,weather,2.0,4.0,16.0,1.0,147.0,300.0,5.707110264748875,17.320508075688775
2025-04-01 12:17:50.949,Computational Science,no,0,mu,nee,female,yes,19 February,500,15,12,19,00:30,Good food ,Friends ,0.0,0.0,0.0,1.0,female,500.0,15.0,12.0,19.0,,2.0,19.0,00:30:00,good food,friends,food_drink,0.0,12.0,144.0,1.0,,500.0,6.2166061010848646,22.360679774997898
